Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 18,874,368
  lm_head                 : 6,291,456
  transformer_matrices    : 56,623,680
  scalars                 : 12
  total                   : 88,080,972
Estimated FLOPs per token: 4.529883e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011235 | lrm: 1.00 | dt: 15237ms | tok/sec: 17,204 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.714343 | lrm: 1.00 | dt: 249ms | tok/sec: 1,052,836 | mfu: 48.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.130410 | lrm: 1.00 | dt: 252ms | tok/sec: 1,039,277 | mfu: 47.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.693386 | lrm: 1.00 | dt: 255ms | tok/sec: 1,028,879 | mfu: 47.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.388203 | lrm: 1.00 | dt: 273ms | tok/sec: 959,211 | mfu: 43.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.142516 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,210 | mfu: 46.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.941805 | lrm: 1.00 | dt: 317ms | tok/sec: 827,504 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.775773 | lrm: 1.00 | dt: 285ms | tok/sec: 921,031 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.631491 | lrm: 1.00 | dt: 259ms | tok/sec: 1,010,731 | mfu: 46.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.509102 | lrm: 1.00 | dt: 258ms | tok/sec: 1,017,022 | mfu: 46.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.408874 | lrm: 1.00 | dt: 276ms | tok/sec: 950,540 | mfu: 43.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.316942 | lrm: 1.00 | dt: 263ms | tok/sec: 996,360 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.231998 | lrm: 1.00 | dt: 258ms | tok/sec: 1,017,373 | mfu: 46.6% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.160835 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,945 | mfu: 46.2% | epoch: 1 | remaining: 299s    
step 00312 (26.3%) | loss: 3.305766 | lrm: 1.00 | dt: 261ms | tok/sec: 1,002,933 | mfu: 45.9% | epoch: 1 | remaining: 221s    
step 00313 (26.4%) | loss: 3.303179 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,933 | mfu: 46.2% | epoch: 1 | remaining: 220s    
step 00314 (26.5%) | loss: 3.299188 | lrm: 1.00 | dt: 266ms | tok/sec: 986,796 | mfu: 45.2% | epoch: 1 | remaining: 220s    
step 00315 (26.6%) | loss: 3.298665 | lrm: 1.00 | dt: 263ms | tok/sec: 996,816 | mfu: 45.6% | epoch: 1 | remaining: 220s    
step 00316 (26.7%) | loss: 3.295601 | lrm: 1.00 | dt: 262ms | tok/sec: 998,830 | mfu: 45.7% | epoch: 1 | remaining: 220s    
step 00317 (26.8%) | loss: 3.294831 | lrm: 1.00 | dt: 263ms | tok/sec: 996,114 | mfu: 45.6% | epoch: 1 | remaining: 219s    
step 00318 (26.9%) | loss: 3.295173 | lrm: 1.00 | dt: 265ms | tok/sec: 988,682 | mfu: 45.3% | epoch: 1 | remaining: 219s    
step 00319 (27.0%) | loss: 3.292327 | lrm: 1.00 | dt: 264ms | tok/sec: 993,064 | mfu: 45.5% | epoch: 1 | remaining: 219s    
step 00320 (27.0%) | loss: 3.287668 | lrm: 1.00 | dt: 262ms | tok/sec: 999,633 | mfu: 45.8% | epoch: 1 | remaining: 219s    
step 00321 (27.1%) | loss: 3.284261 | lrm: 1.00 | dt: 263ms | tok/sec: 995,909 | mfu: 45.6% | epoch: 1 | remaining: 218s    
step 00322 (27.2%) | loss: 3.286029 | lrm: 1.00 | dt: 265ms | tok/sec: 989,899 | mfu: 45.3% | epoch: 1 | remaining: 218s    
step 00323 (27.3%) | loss: 3.283811 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,005 | mfu: 45.9% | epoch: 1 | remaining: 218s    
step 00324 (27.4%) | loss: 3.283150 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,904 | mfu: 45.9% | epoch: 1 | remaining: 218s    
step 00325 (27.5%) | loss: 3.281031 | lrm: 1.00 | dt: 263ms | tok/sec: 995,717 | mfu: 45.6% | epoch: 1 | remaining: 217s    
step 00326 (27.6%) | loss: 3.284157 | lrm: 1.00 | dt: 264ms | tok/sec: 991,697 | mfu: 45.4% | epoch: 1 | remaining: 217s    
step 00327 (27.7%) | loss: 3.280861 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,506 | mfu: 45.9% | epoch: 1 | remaining: 217s    
step 00328 (27.7%) | loss: 3.277660 | lrm: 1.00 | dt: 263ms | tok/sec: 997,028 | mfu: 45.6% | epoch: 1 | remaining: 216s    
step 00329 (27.8%) | loss: 3.277410 | lrm: 1.00 | dt: 264ms | tok/sec: 991,632 | mfu: 45.4% | epoch: 1 | remaining: 216s    
step 00330 (27.9%) | loss: 3.279331 | lrm: 1.00 | dt: 263ms | tok/sec: 997,813 | mfu: 45.7% | epoch: 1 | remaining: 216s    
step 00331 (28.0%) | loss: 3.275613 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,236 | mfu: 46.0% | epoch: 1 | remaining: 216s    
step 00332 (28.1%) | loss: 3.275789 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,318 | mfu: 46.0% | epoch: 1 | remaining: 215s    
step 00333 (28.2%) | loss: 3.275255 | lrm: 1.00 | dt: 265ms | tok/sec: 987,699 | mfu: 45.2% | epoch: 1 | remaining: 215s    
step 00334 (28.3%) | loss: 3.273967 | lrm: 1.00 | dt: 262ms | tok/sec: 999,119 | mfu: 45.7% | epoch: 1 | remaining: 215s    
step 00335 (28.4%) | loss: 3.273293 | lrm: 1.00 | dt: 263ms | tok/sec: 998,512 | mfu: 45.7% | epoch: 1 | remaining: 215s    
step 00336 (28.4%) | loss: 3.271540 | lrm: 1.00 | dt: 264ms | tok/sec: 992,832 | mfu: 45.5% | epoch: 1 | remaining: 214s    
step 00337 (28.5%) | loss: 3.272950 | lrm: 1.00 | dt: 265ms | tok/sec: 989,646 | mfu: 45.3% | epoch: 1 | remaining: 214s    
step 00338 (28.6%) | loss: 3.272468 | lrm: 1.00 | dt: 260ms | tok/sec: 1,009,597 | mfu: 46.2% | epoch: 1 | remaining: 214s    
step 00339 (28.7%) | loss: 3.277746 | lrm: 1.00 | dt: 265ms | tok/sec: 987,747 | mfu: 45.2% | epoch: 1 | remaining: 214s    
step 00340 (28.8%) | loss: 3.273483 | lrm: 1.00 | dt: 265ms | tok/sec: 989,441 | mfu: 45.3% | epoch: 1 | remaining: 213s    
step 00341 (28.9%) | loss: 3.276367 | lrm: 1.00 | dt: 264ms | tok/sec: 991,459 | mfu: 45.4% | epoch: 1 | remaining: 213s    
step 00342 (29.0%) | loss: 3.270613 | lrm: 1.00 | dt: 264ms | tok/sec: 994,823 | mfu: 45.5% | epoch: 1 | remaining: 213s    
step 00343 (29.1%) | loss: 3.266557 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,099 | mfu: 46.1% | epoch: 1 | remaining: 213s    
step 00344 (29.2%) | loss: 3.266443 | lrm: 1.00 | dt: 265ms | tok/sec: 989,360 | mfu: 45.3% | epoch: 1 | remaining: 212s    
step 00345 (29.2%) | loss: 3.268196 | lrm: 1.00 | dt: 262ms | tok/sec: 998,646 | mfu: 45.7% | epoch: 1 | remaining: 212s    
step 00346 (29.3%) | loss: 3.268241 | lrm: 1.00 | dt: 264ms | tok/sec: 991,705 | mfu: 45.4% | epoch: 1 | remaining: 212s    
step 00347 (29.4%) | loss: 3.267668 | lrm: 1.00 | dt: 263ms | tok/sec: 997,973 | mfu: 45.7% | epoch: 1 | remaining: 211s    
step 00348 (29.5%) | loss: 3.265232 | lrm: 1.00 | dt: 265ms | tok/sec: 988,017 | mfu: 45.2% | epoch: 1 | remaining: 211s    
step 00349 (29.6%) | loss: 3.263017 | lrm: 1.00 | dt: 263ms | tok/sec: 996,415 | mfu: 45.6% | epoch: 1 | remaining: 211s    
step 00350 (29.7%) | loss: 3.263382 | lrm: 1.00 | dt: 263ms | tok/sec: 997,736 | mfu: 45.7% | epoch: 1 | remaining: 211s    
step 00351 (29.8%) | loss: 3.256964 | lrm: 1.00 | dt: 266ms | tok/sec: 984,172 | mfu: 45.1% | epoch: 1 | remaining: 210s    
step 00352 (29.9%) | loss: 3.255186 | lrm: 1.00 | dt: 264ms | tok/sec: 992,615 | mfu: 45.4% | epoch: 1 | remaining: 210s    
step 00353 (29.9%) | loss: 3.259950 | lrm: 1.00 | dt: 262ms | tok/sec: 999,223 | mfu: 45.7% | epoch: 1 | remaining: 210s    
step 00354 (30.0%) | loss: 3.259131 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,653 | mfu: 46.0% | epoch: 1 | remaining: 210s    
step 00355 (30.1%) | loss: 3.250737 | lrm: 1.00 | dt: 264ms | tok/sec: 991,630 | mfu: 45.4% | epoch: 1 | remaining: 209s    
step 00356 (30.2%) | loss: 3.250616 | lrm: 1.00 | dt: 263ms | tok/sec: 997,644 | mfu: 45.7% | epoch: 1 | remaining: 209s    
step 00357 (30.3%) | loss: 3.249146 | lrm: 1.00 | dt: 262ms | tok/sec: 999,796 | mfu: 45.8% | epoch: 1 | remaining: 209s    
step 00358 (30.4%) | loss: 3.251492 | lrm: 1.00 | dt: 263ms | tok/sec: 997,078 | mfu: 45.6% | epoch: 1 | remaining: 209s    
step 00359 (30.5%) | loss: 3.249762 | lrm: 1.00 | dt: 266ms | tok/sec: 986,267 | mfu: 45.2% | epoch: 1 | remaining: 208s    
step 00360 (30.6%) | loss: 3.248358 | lrm: 1.00 | dt: 263ms | tok/sec: 998,628 | mfu: 45.7% | epoch: 1 | remaining: 208s    
step 00361 (30.6%) | loss: 3.240859 | lrm: 1.00 | dt: 262ms | tok/sec: 1,002,054 | mfu: 45.9% | epoch: 1 | remaining: 208s    
step 00362 (30.7%) | loss: 3.241984 | lrm: 1.00 | dt: 263ms | tok/sec: 997,056 | mfu: 45.6% | epoch: 1 | remaining: 208s    
step 00363 (30.8%) | loss: 3.238815 | lrm: 1.00 | dt: 265ms | tok/sec: 988,463 | mfu: 45.3% | epoch: 1 | remaining: 207s    
step 00364 (30.9%) | loss: 3.236924 | lrm: 1.00 | dt: 263ms | tok/sec: 996,424 | mfu: 45.6% | epoch: 1 | remaining: 207s    
step 00365 (31.0%) | loss: 3.238035 | lrm: 1.00 | dt: 262ms | tok/sec: 999,577 | mfu: 45.8% | epoch: 1 | remaining: 207s    
step 00366 (31.1%) | loss: 3.231938 | lrm: 1.00 | dt: 263ms | tok/sec: 995,700 | mfu: 45.6% | epoch: 1 | remaining: 206s    
step 00367 (31.2%) | loss: 3.232594 | lrm: 1.00 | dt: 265ms | tok/sec: 987,639 | mfu: 45.2% | epoch: 1 | remaining: 206s    
step 00368 (31.3%) | loss: 3.227217 | lrm: 1.00 | dt: 294ms | tok/sec: 892,445 | mfu: 40.9% | epoch: 1 | remaining: 206s    
step 00369 (31.4%) | loss: 3.221083 | lrm: 1.00 | dt: 259ms | tok/sec: 1,011,959 | mfu: 46.3% | epoch: 1 | remaining: 206s    
step 00370 (31.4%) | loss: 3.223074 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,094 | mfu: 45.8% | epoch: 1 | remaining: 205s    
step 00371 (31.5%) | loss: 3.227308 | lrm: 1.00 | dt: 264ms | tok/sec: 993,987 | mfu: 45.5% | epoch: 1 | remaining: 205s    
step 00372 (31.6%) | loss: 3.225080 | lrm: 1.00 | dt: 267ms | tok/sec: 982,890 | mfu: 45.0% | epoch: 1 | remaining: 205s    
step 00373 (31.7%) | loss: 3.224405 | lrm: 1.00 | dt: 267ms | tok/sec: 982,524 | mfu: 45.0% | epoch: 1 | remaining: 205s    
step 00374 (31.8%) | loss: 3.220802 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,996 | mfu: 45.9% | epoch: 1 | remaining: 204s    
step 00375 (31.9%) | loss: 3.217855 | lrm: 1.00 | dt: 285ms | tok/sec: 920,108 | mfu: 42.1% | epoch: 1 | remaining: 204s    
step 00376 (32.0%) | loss: 3.215756 | lrm: 1.00 | dt: 258ms | tok/sec: 1,014,571 | mfu: 46.4% | epoch: 1 | remaining: 204s    
step 00377 (32.1%) | loss: 3.211849 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,063 | mfu: 45.8% | epoch: 1 | remaining: 204s    
step 00378 (32.2%) | loss: 3.213616 | lrm: 1.00 | dt: 266ms | tok/sec: 987,175 | mfu: 45.2% | epoch: 1 | remaining: 203s    
step 00379 (32.2%) | loss: 3.219544 | lrm: 1.00 | dt: 267ms | tok/sec: 980,663 | mfu: 44.9% | epoch: 1 | remaining: 203s    
step 00380 (32.3%) | loss: 3.218417 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,798 | mfu: 45.9% | epoch: 1 | remaining: 203s    
step 00381 (32.4%) | loss: 3.220606 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,939 | mfu: 46.1% | epoch: 1 | remaining: 202s    
step 00382 (32.5%) | loss: 3.220934 | lrm: 1.00 | dt: 264ms | tok/sec: 992,156 | mfu: 45.4% | epoch: 1 | remaining: 202s    
step 00383 (32.6%) | loss: 3.221623 | lrm: 1.00 | dt: 264ms | tok/sec: 991,258 | mfu: 45.4% | epoch: 1 | remaining: 202s    
step 00384 (32.7%) | loss: 3.222780 | lrm: 1.00 | dt: 263ms | tok/sec: 996,080 | mfu: 45.6% | epoch: 1 | remaining: 202s    
step 00385 (32.8%) | loss: 3.222275 | lrm: 1.00 | dt: 264ms | tok/sec: 994,306 | mfu: 45.5% | epoch: 1 | remaining: 201s    
step 00386 (32.9%) | loss: 3.216862 | lrm: 1.00 | dt: 265ms | tok/sec: 990,959 | mfu: 45.4% | epoch: 1 | remaining: 201s    
step 00387 (32.9%) | loss: 3.217311 | lrm: 1.00 | dt: 266ms | tok/sec: 984,823 | mfu: 45.1% | epoch: 1 | remaining: 201s    
step 00388 (33.0%) | loss: 3.212979 | lrm: 1.00 | dt: 263ms | tok/sec: 998,467 | mfu: 45.7% | epoch: 1 | remaining: 201s    
step 00389 (33.1%) | loss: 3.207256 | lrm: 1.00 | dt: 263ms | tok/sec: 995,253 | mfu: 45.6% | epoch: 1 | remaining: 200s    
step 00390 (33.2%) | loss: 3.209242 | lrm: 1.00 | dt: 264ms | tok/sec: 993,100 | mfu: 45.5% | epoch: 1 | remaining: 200s    
step 00391 (33.3%) | loss: 3.209844 | lrm: 1.00 | dt: 263ms | tok/sec: 996,168 | mfu: 45.6% | epoch: 1 | remaining: 200s    
step 00392 (33.4%) | loss: 3.208920 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,295 | mfu: 45.8% | epoch: 1 | remaining: 200s    
step 00393 (33.5%) | loss: 3.211110 | lrm: 1.00 | dt: 263ms | tok/sec: 995,575 | mfu: 45.6% | epoch: 1 | remaining: 199s    
step 00394 (33.6%) | loss: 3.210737 | lrm: 1.00 | dt: 264ms | tok/sec: 993,738 | mfu: 45.5% | epoch: 1 | remaining: 199s    
step 00395 (33.6%) | loss: 3.210328 | lrm: 1.00 | dt: 264ms | tok/sec: 991,996 | mfu: 45.4% | epoch: 1 | remaining: 199s    
step 00396 (33.7%) | loss: 3.212476 | lrm: 1.00 | dt: 263ms | tok/sec: 995,752 | mfu: 45.6% | epoch: 1 | remaining: 199s    
step 00397 (33.8%) | loss: 3.203817 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,962 | mfu: 45.8% | epoch: 1 | remaining: 198s    
step 00398 (33.9%) | loss: 3.201265 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,426 | mfu: 45.8% | epoch: 1 | remaining: 198s    
step 00399 (34.0%) | loss: 3.199260 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,938 | mfu: 45.8% | epoch: 1 | remaining: 198s    
step 00400 (34.1%) | loss: 3.197861 | lrm: 1.00 | dt: 263ms | tok/sec: 996,698 | mfu: 45.6% | epoch: 1 | remaining: 197s    
step 00401 (34.2%) | loss: 3.197336 | lrm: 1.00 | dt: 263ms | tok/sec: 995,556 | mfu: 45.6% | epoch: 1 | remaining: 197s    
step 00402 (34.3%) | loss: 3.199070 | lrm: 1.00 | dt: 263ms | tok/sec: 996,860 | mfu: 45.6% | epoch: 1 | remaining: 197s    
step 00403 (34.3%) | loss: 3.199057 | lrm: 1.00 | dt: 263ms | tok/sec: 995,644 | mfu: 45.6% | epoch: 1 | remaining: 197s    
step 00404 (34.4%) | loss: 3.198397 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,232 | mfu: 45.8% | epoch: 1 | remaining: 196s    
step 00405 (34.5%) | loss: 3.200102 | lrm: 1.00 | dt: 263ms | tok/sec: 996,299 | mfu: 45.6% | epoch: 1 | remaining: 196s    
step 00406 (34.6%) | loss: 3.198340 | lrm: 1.00 | dt: 276ms | tok/sec: 951,086 | mfu: 43.5% | epoch: 1 | remaining: 196s    
step 00407 (34.7%) | loss: 3.197126 | lrm: 1.00 | dt: 260ms | tok/sec: 1,006,370 | mfu: 46.1% | epoch: 1 | remaining: 196s    
step 00408 (34.8%) | loss: 3.195341 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,942 | mfu: 45.9% | epoch: 1 | remaining: 195s    
step 00409 (34.9%) | loss: 3.192023 | lrm: 1.00 | dt: 268ms | tok/sec: 979,857 | mfu: 44.9% | epoch: 1 | remaining: 195s    
step 00410 (35.0%) | loss: 3.191346 | lrm: 1.00 | dt: 266ms | tok/sec: 986,484 | mfu: 45.2% | epoch: 1 | remaining: 195s    
step 00411 (35.1%) | loss: 3.182375 | lrm: 1.00 | dt: 263ms | tok/sec: 995,582 | mfu: 45.6% | epoch: 1 | remaining: 195s    
step 00412 (35.1%) | loss: 3.184248 | lrm: 1.00 | dt: 262ms | tok/sec: 1,002,004 | mfu: 45.9% | epoch: 1 | remaining: 194s    
step 00413 (35.2%) | loss: 3.183231 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,019 | mfu: 45.8% | epoch: 1 | remaining: 194s    
step 00414 (35.3%) | loss: 3.181705 | lrm: 1.00 | dt: 265ms | tok/sec: 991,071 | mfu: 45.4% | epoch: 1 | remaining: 194s    
step 00415 (35.4%) | loss: 3.180651 | lrm: 1.00 | dt: 262ms | tok/sec: 999,097 | mfu: 45.7% | epoch: 1 | remaining: 194s    
step 00416 (35.5%) | loss: 3.179899 | lrm: 1.00 | dt: 263ms | tok/sec: 996,690 | mfu: 45.6% | epoch: 1 | remaining: 193s    
step 00417 (35.6%) | loss: 3.181084 | lrm: 1.00 | dt: 266ms | tok/sec: 986,123 | mfu: 45.1% | epoch: 1 | remaining: 193s    
step 00418 (35.7%) | loss: 3.181170 | lrm: 1.00 | dt: 264ms | tok/sec: 992,582 | mfu: 45.4% | epoch: 1 | remaining: 193s    
step 00419 (35.8%) | loss: 3.180018 | lrm: 1.00 | dt: 262ms | tok/sec: 999,209 | mfu: 45.7% | epoch: 1 | remaining: 192s    
step 00420 (35.8%) | loss: 3.180965 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,324 | mfu: 45.8% | epoch: 1 | remaining: 192s    
step 00421 (35.9%) | loss: 3.176070 | lrm: 1.00 | dt: 265ms | tok/sec: 988,426 | mfu: 45.2% | epoch: 1 | remaining: 192s    
step 00422 (36.0%) | loss: 3.175108 | lrm: 1.00 | dt: 263ms | tok/sec: 996,828 | mfu: 45.6% | epoch: 1 | remaining: 192s    
step 00423 (36.1%) | loss: 3.180813 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,844 | mfu: 45.8% | epoch: 1 | remaining: 191s    
step 00424 (36.2%) | loss: 3.183271 | lrm: 1.00 | dt: 266ms | tok/sec: 986,810 | mfu: 45.2% | epoch: 1 | remaining: 191s    
step 00425 (36.3%) | loss: 3.178846 | lrm: 1.00 | dt: 264ms | tok/sec: 992,116 | mfu: 45.4% | epoch: 1 | remaining: 191s    
step 00426 (36.4%) | loss: 3.178292 | lrm: 1.00 | dt: 265ms | tok/sec: 989,277 | mfu: 45.3% | epoch: 1 | remaining: 191s    
step 00427 (36.5%) | loss: 3.173554 | lrm: 1.00 | dt: 263ms | tok/sec: 997,334 | mfu: 45.7% | epoch: 1 | remaining: 190s    
step 00428 (36.5%) | loss: 3.169560 | lrm: 1.00 | dt: 263ms | tok/sec: 996,560 | mfu: 45.6% | epoch: 1 | remaining: 190s    
step 00429 (36.6%) | loss: 3.167309 | lrm: 1.00 | dt: 263ms | tok/sec: 996,196 | mfu: 45.6% | epoch: 1 | remaining: 190s    
step 00430 (36.7%) | loss: 3.171130 | lrm: 1.00 | dt: 263ms | tok/sec: 996,791 | mfu: 45.6% | epoch: 1 | remaining: 190s    
step 00431 (36.8%) | loss: 3.168980 | lrm: 1.00 | dt: 266ms | tok/sec: 985,882 | mfu: 45.1% | epoch: 1 | remaining: 189s    
step 00432 (36.9%) | loss: 3.165080 | lrm: 1.00 | dt: 264ms | tok/sec: 993,246 | mfu: 45.5% | epoch: 1 | remaining: 189s    
step 00433 (37.0%) | loss: 3.167829 | lrm: 1.00 | dt: 264ms | tok/sec: 994,360 | mfu: 45.5% | epoch: 1 | remaining: 189s    
step 00434 (37.1%) | loss: 3.170707 | lrm: 1.00 | dt: 263ms | tok/sec: 996,475 | mfu: 45.6% | epoch: 1 | remaining: 189s    
step 00435 (37.2%) | loss: 3.172780 | lrm: 1.00 | dt: 262ms | tok/sec: 999,095 | mfu: 45.7% | epoch: 1 | remaining: 188s    
step 00436 (37.2%) | loss: 3.171232 | lrm: 1.00 | dt: 262ms | tok/sec: 998,819 | mfu: 45.7% | epoch: 1 | remaining: 188s    
step 00437 (37.3%) | loss: 3.170730 | lrm: 1.00 | dt: 263ms | tok/sec: 996,529 | mfu: 45.6% | epoch: 1 | remaining: 188s    
step 00438 (37.4%) | loss: 3.171662 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,542 | mfu: 45.8% | epoch: 1 | remaining: 187s    
step 00439 (37.5%) | loss: 3.172366 | lrm: 1.00 | dt: 265ms | tok/sec: 990,801 | mfu: 45.4% | epoch: 1 | remaining: 187s    
step 00440 (37.6%) | loss: 3.173163 | lrm: 1.00 | dt: 267ms | tok/sec: 982,726 | mfu: 45.0% | epoch: 1 | remaining: 187s    
step 00441 (37.7%) | loss: 3.175885 | lrm: 1.00 | dt: 264ms | tok/sec: 993,011 | mfu: 45.5% | epoch: 1 | remaining: 187s    
step 00442 (37.8%) | loss: 3.176488 | lrm: 1.00 | dt: 264ms | tok/sec: 994,324 | mfu: 45.5% | epoch: 1 | remaining: 186s    
step 00443 (37.9%) | loss: 3.178994 | lrm: 1.00 | dt: 265ms | tok/sec: 989,523 | mfu: 45.3% | epoch: 1 | remaining: 186s    
step 00444 (38.0%) | loss: 3.167736 | lrm: 1.00 | dt: 269ms | tok/sec: 976,064 | mfu: 44.7% | epoch: 1 | remaining: 186s    
step 00445 (38.0%) | loss: 3.165338 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,833 | mfu: 46.1% | epoch: 1 | remaining: 186s    
step 00446 (38.1%) | loss: 3.162989 | lrm: 1.00 | dt: 262ms | tok/sec: 1,002,147 | mfu: 45.9% | epoch: 1 | remaining: 185s    
step 00447 (38.2%) | loss: 3.165167 | lrm: 1.00 | dt: 264ms | tok/sec: 994,347 | mfu: 45.5% | epoch: 1 | remaining: 185s    
step 00448 (38.3%) | loss: 3.163983 | lrm: 1.00 | dt: 265ms | tok/sec: 987,374 | mfu: 45.2% | epoch: 1 | remaining: 185s    
step 00449 (38.4%) | loss: 3.164685 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,377 | mfu: 46.0% | epoch: 1 | remaining: 185s    
step 00450 (38.5%) | loss: 3.165939 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,562 | mfu: 45.9% | epoch: 1 | remaining: 184s    
step 00451 (38.6%) | loss: 3.167226 | lrm: 1.00 | dt: 265ms | tok/sec: 990,854 | mfu: 45.4% | epoch: 1 | remaining: 184s    
step 00452 (38.7%) | loss: 3.170629 | lrm: 1.00 | dt: 264ms | tok/sec: 994,576 | mfu: 45.5% | epoch: 1 | remaining: 184s    
step 00453 (38.7%) | loss: 3.173035 | lrm: 1.00 | dt: 263ms | tok/sec: 998,628 | mfu: 45.7% | epoch: 1 | remaining: 184s    
step 00454 (38.8%) | loss: 3.169761 | lrm: 1.00 | dt: 264ms | tok/sec: 994,448 | mfu: 45.5% | epoch: 1 | remaining: 183s    
step 00455 (38.9%) | loss: 3.168477 | lrm: 1.00 | dt: 265ms | tok/sec: 988,750 | mfu: 45.3% | epoch: 1 | remaining: 183s    
step 00456 (39.0%) | loss: 3.170449 | lrm: 1.00 | dt: 262ms | tok/sec: 1,002,433 | mfu: 45.9% | epoch: 1 | remaining: 183s    
step 00457 (39.1%) | loss: 3.169307 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,383 | mfu: 45.8% | epoch: 1 | remaining: 182s    
step 00458 (39.2%) | loss: 3.169154 | lrm: 1.00 | dt: 265ms | tok/sec: 989,491 | mfu: 45.3% | epoch: 1 | remaining: 182s    
step 00459 (39.3%) | loss: 3.167355 | lrm: 1.00 | dt: 264ms | tok/sec: 992,767 | mfu: 45.4% | epoch: 1 | remaining: 182s    
step 00460 (39.4%) | loss: 3.167449 | lrm: 1.00 | dt: 262ms | tok/sec: 999,625 | mfu: 45.8% | epoch: 1 | remaining: 182s    
step 00461 (39.4%) | loss: 3.169387 | lrm: 1.00 | dt: 266ms | tok/sec: 984,676 | mfu: 45.1% | epoch: 1 | remaining: 181s    
step 00462 (39.5%) | loss: 3.170990 | lrm: 1.00 | dt: 265ms | tok/sec: 990,307 | mfu: 45.3% | epoch: 1 | remaining: 181s    
step 00463 (39.6%) | loss: 3.171830 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,742 | mfu: 46.0% | epoch: 1 | remaining: 181s    
step 00464 (39.7%) | loss: 3.166237 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,196 | mfu: 45.8% | epoch: 1 | remaining: 181s    
step 00465 (39.8%) | loss: 3.163907 | lrm: 1.00 | dt: 268ms | tok/sec: 977,898 | mfu: 44.8% | epoch: 1 | remaining: 180s    
step 00466 (39.9%) | loss: 3.162321 | lrm: 1.00 | dt: 265ms | tok/sec: 987,564 | mfu: 45.2% | epoch: 1 | remaining: 180s    
step 00467 (40.0%) | loss: 3.159555 | lrm: 1.00 | dt: 259ms | tok/sec: 1,013,987 | mfu: 46.4% | epoch: 1 | remaining: 180s    
step 00468 (40.1%) | loss: 3.163982 | lrm: 1.00 | dt: 270ms | tok/sec: 970,258 | mfu: 44.4% | epoch: 1 | remaining: 180s    
step 00469 (40.1%) | loss: 3.162121 | lrm: 1.00 | dt: 264ms | tok/sec: 994,523 | mfu: 45.5% | epoch: 1 | remaining: 179s    
